whole,shuck,vis,shell,diameter,length
1.4385,0.581,0.354,0.36,0.555,0.665
0.9245,0.405,0.2195,0.255,0.49,0.565
1.2915,0.57,0.3045,0.33,0.55,0.645
1.221,0.51,0.259,0.39,0.54,0.64
0.7085,0.293,0.1525,0.235,0.41,0.525
0.9915,0.3865,0.224,0.265,0.465,0.585
1.3905,0.5425,0.3035,0.4,0.55,0.67
1.7445,0.5975,0.305,0.625,0.55,0.68
0.7835,0.313,0.1715,0.2185,0.44,0.53
0.646,0.2895,0.1405,0.177,0.405,0.515
0.627,0.2645,0.1415,0.181,0.405,0.52
0.7715,0.272,0.1455,0.2765,0.415,0.545
0.421,0.1565,0.091,0.1345,0.35,0.465
1.8075,0.7055,0.3215,0.475,0.585,0.7
0.9955,0.429,0.212,0.26,0.46,0.58
0.908,0.381,0.1615,0.315,0.465,0.585
1.2415,0.5235,0.3065,0.36,0.515,0.625
1.0595,0.44,0.2195,0.285,0.455,0.57
1.2895,0.5345,0.2855,0.41,0.51,0.655
0.953,0.3445,0.2235,0.305,0.5,0.625
1.248,0.4245,0.2595,0.48,0.52,0.64
1.0105,0.435,0.209,0.3,0.485,0.605
1.0385,0.427,0.2315,0.345,0.525,0.615
0.854,0.3665,0.1635,0.245,0.44,0.58
1.1835,0.378,0.27,0.395,0.52,0.62
1.115,0.378,0.2145,0.36,0.47,0.62
1.129,0.4385,0.256,0.36,0.505,0.6
1.1745,0.4385,0.2305,0.42,0.485,0.625
0.5185,0.221,0.1265,0.135,0.35,0.455
0.6725,0.249,0.181,0.21,0.38,0.49
0.08,0.031,0.0215,0.025,0.195,0.275
0.203,0.078,0.059,0.055,0.25,0.345
0.1885,0.0845,0.0385,0.055,0.27,0.36
0.733,0.282,0.159,0.235,0.445,0.57
0.9715,0.3965,0.255,0.26,0.45,0.57
0.458,0.192,0.1055,0.13,0.355,0.46
0.38,0.1695,0.086,0.11,0.335,0.435
0.2705,0.093,0.066,0.0885,0.29,0.375
0.604,0.242,0.1415,0.179,0.375,0.5
0.415,0.1585,0.0925,0.131,0.355,0.44
0.257,0.099,0.051,0.085,0.29,0.38
0.795,0.3605,0.1555,0.23,0.45,0.565
1.1905,0.4585,0.298,0.37,0.5,0.66
1.326,0.519,0.2625,0.44,0.53,0.66
0.364,0.148,0.0805,0.1175,0.34,0.44
0.452,0.1715,0.092,0.155,0.35,0.475
0.7335,0.2795,0.163,0.2185,0.415,0.545
0.5465,0.2005,0.126,0.185,0.355,0.47
0.387,0.165,0.1005,0.0985,0.32,0.41
1.066,0.382,0.2275,0.415,0.455,0.59
0.9535,0.3785,0.201,0.305,0.44,0.57
1.133,0.5275,0.2355,0.35,0.475,0.61
0.982,0.4055,0.2495,0.27,0.435,0.585
1.3675,0.5015,0.3035,0.515,0.48,0.63
1.233,0.5565,0.247,0.365,0.49,0.625
1.4635,0.6615,0.3435,0.435,0.525,0.645
0.363,0.1735,0.065,0.11,0.305,0.41
0.8285,0.3095,0.1905,0.25,0.41,0.55
0.3095,0.138,0.058,0.095,0.31,0.405
0.25,0.111,0.057,0.075,0.29,0.37
1.514,0.526,0.2975,0.42,0.52,0.66
0.7135,0.2565,0.186,0.225,0.43,0.55
0.981,0.305,0.2245,0.335,0.445,0.56
0.286,0.1225,0.0635,0.0835,0.315,0.385
0.265,0.1075,0.06,0.0865,0.3,0.39
0.4085,0.15,0.0825,0.1515,0.345,0.44
0.433,0.1525,0.095,0.152,0.355,0.47
0.6785,0.2945,0.138,0.195,0.385,0.5
0.498,0.1795,0.1095,0.17,0.385,0.5
0.658,0.2655,0.1125,0.225,0.405,0.525
0.322,0.1205,0.061,0.125,0.335,0.425
0.2815,0.1255,0.0525,0.09,0.305,0.38
0.391,0.1555,0.095,0.1405,0.34,0.43
0.5735,0.219,0.1365,0.195,0.4,0.51
0.9,0.358,0.156,0.315,0.45,0.59
0.447,0.1695,0.081,0.14,0.36,0.475
0.2305,0.0945,0.0465,0.075,0.28,0.37
0.97,0.336,0.2315,0.295,0.435,0.555
1.14,0.4305,0.2245,0.42,0.515,0.615
0.9585,0.4145,0.1615,0.33,0.475,0.585
0.3675,0.146,0.0885,0.12,0.34,0.415
0.281,0.1045,0.0615,0.09,0.305,0.38
0.2245,0.078,0.054,0.08,0.295,0.395
0.605,0.2155,0.14,0.18,0.38,0.485
0.5425,0.1765,0.123,0.175,0.35,0.45
0.655,0.2405,0.143,0.205,0.38,0.5
0.8115,0.24,0.169,0.24,0.41,0.53
0.7865,0.241,0.14,0.24,0.385,0.49
0.64,0.158,0.11,0.245,0.395,0.52
0.5945,0.185,0.148,0.19,0.375,0.5
0.8165,0.25,0.1915,0.265,0.38,0.45
0.2225,0.093,0.026,0.08,0.275,0.37
0.3915,0.154,0.094,0.12,0.325,0.435
0.8045,0.3345,0.2125,0.21,0.4,0.535
0.927,0.26,0.1425,0.345,0.405,0.535
0.3865,0.1475,0.1065,0.11,0.325,0.43
0.444,0.155,0.1145,0.14,0.335,0.43
0.3515,0.1185,0.091,0.1195,0.315,0.395
0.536,0.1895,0.142,0.173,0.385,0.48
0.4525,0.18,0.103,0.123,0.33,0.445
0.207,0.0775,0.0435,0.0765,0.26,0.345
0.5005,0.161,0.107,0.195,0.36,0.49
0.525,0.2185,0.1195,0.155,0.375,0.48
0.6515,0.261,0.2015,0.165,0.4,0.52
0.6435,0.2415,0.1735,0.21,0.405,0.52
0.2065,0.078,0.057,0.06,0.265,0.36
0.7365,0.2785,0.186,0.215,0.42,0.535
0.8175,0.2795,0.183,0.26,0.405,0.52
1.001,0.34,0.226,0.265,0.42,0.53
1.676,0.673,0.4805,0.45,0.52,0.66
0.612,0.187,0.15,0.195,0.39,0.51
1.122,0.347,0.3045,0.315,0.46,0.605
1.1365,0.369,0.3005,0.275,0.455,0.58
1.437,0.469,0.2655,0.41,0.495,0.605
0.946,0.313,0.1825,0.335,0.44,0.55
0.959,0.2385,0.221,0.3,0.44,0.54
1.153,0.403,0.296,0.32,0.47,0.61
1.1325,0.3825,0.234,0.32,0.445,0.59
0.785,0.289,0.227,0.233,0.43,0.55
0.949,0.3485,0.2395,0.278,0.425,0.53
0.9805,0.3155,0.2815,0.2965,0.455,0.53
0.537,0.1725,0.1375,0.195,0.36,0.47
0.5755,0.1975,0.13,0.1845,0.39,0.515
0.644,0.2475,0.2025,0.1635,0.39,0.505
0.8875,0.309,0.246,0.262,0.465,0.6
0.8935,0.3145,0.2575,0.263,0.465,0.57
0.556,0.1925,0.1315,0.1685,0.375,0.485
0.3665,0.125,0.081,0.117,0.345,0.425
0.759,0.2125,0.179,0.24,0.4,0.48
0.4195,0.153,0.1155,0.13,0.34,0.44
0.807,0.2855,0.179,0.235,0.41,0.52
0.6835,0.165,0.1315,0.205,0.365,0.49
0.6395,0.2945,0.113,0.175,0.365,0.48
0.7555,0.3355,0.129,0.214,0.41,0.495
0.805,0.369,0.1725,0.21,0.42,0.54
0.9185,0.429,0.2015,0.2375,0.44,0.545
0.923,0.4035,0.175,0.283,0.43,0.55
0.875,0.362,0.1755,0.2765,0.45,0.55
0.958,0.442,0.1815,0.2705,0.465,0.575
1.11,0.498,0.228,0.33,0.48,0.595
1.2095,0.5225,0.296,0.32,0.48,0.595
1.1405,0.547,0.231,0.271,0.475,0.595
1.113,0.5175,0.244,0.305,0.465,0.595
1.21,0.653,0.1695,0.3205,0.475,0.6
1.382,0.609,0.2325,0.3985,0.475,0.605
1.377,0.5585,0.33,0.292,0.5,0.615
1.3435,0.629,0.2605,0.345,0.52,0.615
1.3725,0.6285,0.275,0.3685,0.505,0.62
1.2085,0.465,0.162,0.411,0.49,0.625
1.3825,0.5895,0.285,0.381,0.49,0.625
1.376,0.6495,0.361,0.31,0.5,0.635
1.2945,0.668,0.2605,0.2715,0.485,0.635
1.486,0.7595,0.332,0.321,0.51,0.64
1.309,0.5445,0.2945,0.413,0.585,0.67
1.8095,0.784,0.391,0.455,0.525,0.675
1.4785,0.628,0.3405,0.42,0.525,0.675
1.7775,0.861,0.322,0.415,0.56,0.68
1.6675,0.833,0.3775,0.475,0.54,0.685
1.834,0.8455,0.422,0.455,0.56,0.695
0.4355,0.2025,0.1095,0.1195,0.335,0.445
0.482,0.23,0.106,0.1095,0.35,0.465
0.582,0.29,0.092,0.146,0.365,0.47
0.5915,0.3245,0.11,0.127,0.36,0.475
0.4785,0.1995,0.0955,0.129,0.37,0.485
0.674,0.3165,0.141,0.1785,0.39,0.505
0.834,0.367,0.2,0.23,0.43,0.515
0.724,0.3475,0.173,0.175,0.415,0.525
0.7585,0.325,0.197,0.205,0.425,0.53
0.8495,0.328,0.232,0.202,0.425,0.53
0.8215,0.3935,0.196,0.205,0.4,0.535
0.9905,0.544,0.178,0.218,0.445,0.55
0.8105,0.368,0.161,0.275,0.43,0.55
0.967,0.4525,0.207,0.274,0.455,0.56
0.6975,0.3075,0.1665,0.18,0.4,0.565
1.107,0.54,0.255,0.27,0.455,0.57
1.103,0.538,0.221,0.249,0.46,0.575
1.1155,0.5575,0.2255,0.29,0.46,0.58
1.0515,0.4095,0.2595,0.276,0.46,0.58
1.137,0.5585,0.22,0.29,0.45,0.58
1.063,0.5155,0.2445,0.25,0.455,0.59
1.121,0.4515,0.178,0.155,0.47,0.595
1.114,0.5865,0.2205,0.25,0.45,0.595
1.0045,0.4655,0.2095,0.2515,0.46,0.595
1.1345,0.5265,0.2645,0.295,0.49,0.605
1.2525,0.585,0.2595,0.33,0.48,0.615
1.3315,0.594,0.276,0.388,0.51,0.62
1.3525,0.6235,0.278,0.365,0.48,0.625
1.1435,0.4755,0.2475,0.349,0.475,0.625
1.288,0.573,0.3035,0.315,0.5,0.625
1.38,0.5845,0.302,0.401,0.485,0.625
1.3075,0.599,0.284,0.315,0.495,0.63
1.5175,0.693,0.326,0.409,0.5,0.64
1.394,0.4935,0.291,0.4,0.5,0.64
1.2205,0.6145,0.236,0.3185,0.5,0.645
1.4325,0.684,0.308,0.336,0.505,0.645
1.2465,0.5475,0.327,0.3,0.5,0.645
1.212,0.515,0.2055,0.385,0.515,0.645
1.494,0.6895,0.331,0.1825,0.46,0.655
1.6525,0.8515,0.3365,0.403,0.51,0.655
1.528,0.69,0.3025,0.441,0.505,0.66
1.3695,0.641,0.294,0.335,0.475,0.66
1.587,0.739,0.2995,0.435,0.57,0.675
1.8375,0.7645,0.3615,0.553,0.565,0.675
1.8385,0.8035,0.396,0.503,0.535,0.695
1.685,0.693,0.42,0.4045,0.535,0.705
1.56,0.6655,0.383,0.405,0.525,0.715
2.555,1.1335,0.44,0.6,0.6,0.735
0.5445,0.246,0.15,0.1405,0.39,0.505
0.545,0.261,0.115,0.1385,0.4,0.51
1.019,0.523,0.1985,0.254,0.46,0.52
0.8145,0.427,0.1855,0.175,0.415,0.55
0.84,0.395,0.195,0.223,0.43,0.55
0.6405,0.336,0.1765,0.245,0.44,0.56
1.0095,0.447,0.2375,0.2645,0.45,0.565
0.8775,0.412,0.217,0.22,0.445,0.57
0.9945,0.466,0.229,0.265,0.46,0.575
1.068,0.556,0.214,0.2575,0.45,0.575
0.869,0.435,0.197,0.238,0.47,0.575
0.93,0.385,0.246,0.265,0.45,0.58
1.0265,0.485,0.2495,0.2565,0.475,0.6
1.1025,0.5455,0.262,0.25,0.465,0.6
1.1775,0.611,0.2275,0.292,0.47,0.605
1.056,0.433,0.2195,0.357,0.475,0.605
0.923,0.4615,0.1825,0.2415,0.465,0.615
1.027,0.447,0.25,0.285,0.475,0.615
1.1125,0.5635,0.2445,0.281,0.48,0.62
1.3745,0.7335,0.2715,0.332,0.485,0.625
1.1565,0.5115,0.308,0.2885,0.495,0.635
1.1345,0.528,0.254,0.305,0.48,0.645
1.464,0.6415,0.339,0.4245,0.5,0.65
1.415,0.5885,0.3725,0.364,0.51,0.655
1.346,0.546,0.2705,0.476,0.53,0.66
1.3645,0.6075,0.3025,0.353,0.505,0.67
1.7025,0.664,0.3655,0.4735,0.54,0.685
1.454,0.624,0.3105,0.39,0.54,0.69
1.5535,0.7945,0.3485,0.3695,0.53,0.69
1.6465,0.8545,0.307,0.3995,0.525,0.7
1.219,0.6395,0.236,0.301,0.55,0.705
1.652,0.735,0.381,0.4525,0.56,0.71
2.103,1.0265,0.48,0.5375,0.58,0.72
1.9965,0.9035,0.469,0.5215,0.55,0.72
1.8795,0.931,0.38,0.4825,0.575,0.73
2.236,1.109,0.5195,0.545,0.57,0.75
2.505,1.1965,0.513,0.6785,0.625,0.755
2.657,1.488,0.4985,0.586,0.63,0.78
0.4305,0.184,0.108,0.1245,0.365,0.455
0.4785,0.206,0.1045,0.141,0.365,0.46
0.7145,0.335,0.144,0.2075,0.41,0.535
0.8655,0.4315,0.163,0.2175,0.42,0.54
0.8,0.3535,0.163,0.207,0.445,0.545
0.651,0.2965,0.137,0.2,0.405,0.55
1.224,0.5565,0.3225,0.2695,0.445,0.56
0.8495,0.4215,0.1685,0.225,0.45,0.565
0.9795,0.397,0.2525,0.2655,0.46,0.57
0.857,0.461,0.147,0.2125,0.42,0.575
1.078,0.511,0.2095,0.306,0.48,0.575
0.858,0.4,0.156,0.253,0.445,0.58
0.98,0.4115,0.196,0.2255,0.465,0.595
1.026,0.4645,0.112,0.305,0.465,0.595
1.04,0.4755,0.25,0.28,0.465,0.6
0.8895,0.419,0.1715,0.269,0.455,0.6
1.076,0.463,0.2195,0.335,0.475,0.605
1.0835,0.5405,0.2215,0.275,0.47,0.605
1.004,0.4475,0.193,0.2895,0.475,0.615
1.023,0.4905,0.1955,0.3035,0.475,0.615
1.115,0.484,0.2115,0.355,0.475,0.615
1.293,0.596,0.3135,0.354,0.5,0.62
1.1295,0.463,0.2685,0.33,0.475,0.62
1.15,0.5475,0.256,0.3045,0.505,0.625
1.264,0.5715,0.326,0.321,0.515,0.625
1.2035,0.5865,0.239,0.3185,0.48,0.625
1.3205,0.5945,0.345,0.345,0.485,0.63
1.4595,0.705,0.2645,0.39,0.5,0.635
1.211,0.707,0.2725,0.323,0.495,0.635
1.16,0.4785,0.274,0.349,0.505,0.65
1.662,0.77,0.378,0.435,0.59,0.65
1.567,0.7245,0.349,0.391,0.51,0.65
1.3595,0.564,0.3215,0.3985,0.525,0.655
1.4545,0.6,0.3865,0.383,0.52,0.655
1.548,0.724,0.3525,0.3925,0.495,0.66
1.337,0.615,0.3125,0.3575,0.515,0.66
1.491,0.6345,0.342,0.435,0.53,0.665
1.5615,0.63,0.487,0.3725,0.53,0.67
1.0145,0.4375,0.271,0.3745,0.505,0.67
1.7635,0.7465,0.399,0.4975,0.565,0.695
1.556,0.6725,0.374,0.195,0.545,0.7
1.5345,0.96,0.4195,0.43,0.57,0.705
1.614,0.743,0.345,0.45,0.55,0.71
1.9335,0.913,0.389,0.51,0.575,0.72
1.737,0.697,0.3585,0.595,0.6,0.725
1.7375,0.6785,0.4345,0.52,0.58,0.73
2.1275,0.949,0.46,0.565,0.565,0.735
2.25,1.1565,0.446,0.558,0.57,0.745
2.5085,1.232,0.519,0.612,0.61,0.75
2.255,0.8905,0.42,0.7975,0.65,0.815
0.566,0.281,0.117,0.1335,0.365,0.475
0.573,0.2655,0.1285,0.144,0.38,0.495
0.6855,0.361,0.1565,0.161,0.38,0.505
0.7405,0.3565,0.1775,0.203,0.41,0.545
0.84,0.375,0.218,0.1945,0.43,0.55
0.8745,0.453,0.161,0.22,0.43,0.56
0.8715,0.4755,0.1835,0.1835,0.435,0.56
1.165,0.65,0.2205,0.3055,0.46,0.58
0.953,0.475,0.2165,0.2095,0.435,0.58
1.151,0.613,0.239,0.2515,0.465,0.59
0.9905,0.453,0.2205,0.275,0.46,0.59
1.04,0.452,0.2655,0.288,0.455,0.595
0.9515,0.4535,0.193,0.2765,0.485,0.605
1.201,0.417,0.2875,0.38,0.485,0.605
1.289,0.6,0.2945,0.3315,0.515,0.605
1.1005,0.5125,0.229,0.305,0.485,0.61
1.012,0.477,0.236,0.275,0.435,0.62
1.1105,0.467,0.268,0.329,0.5,0.63
1.336,0.6805,0.259,0.3245,0.49,0.63
1.1345,0.505,0.2655,0.315,0.505,0.635
1.5335,0.6635,0.3345,0.4025,0.515,0.64
1.546,0.7035,0.365,0.415,0.515,0.645
1.318,0.55,0.3015,0.335,0.505,0.645
1.5245,0.59,0.326,0.495,0.545,0.65
1.3825,0.702,0.304,0.3195,0.5,0.65
1.5555,0.695,0.296,0.444,0.54,0.655
1.389,0.5945,0.324,0.395,0.515,0.665
1.741,0.7665,0.3255,0.4685,0.5,0.68
1.684,0.7535,0.3265,0.32,0.55,0.7
0.6065,0.3005,0.131,0.15,0.375,0.515
0.863,0.435,0.149,0.27,0.44,0.565
0.7805,0.3345,0.185,0.21,0.45,0.57
1.116,0.509,0.238,0.34,0.47,0.575
0.9965,0.417,0.247,0.47,0.465,0.575
1.0305,0.4605,0.218,0.36,0.435,0.575
0.834,0.428,0.1515,0.23,0.435,0.58
0.913,0.4305,0.2205,0.253,0.445,0.585
0.9,0.4175,0.17,0.265,0.435,0.595
0.9735,0.427,0.2045,0.3,0.46,0.6
1.13,0.575,0.196,0.305,0.475,0.6
1.0645,0.4495,0.2455,0.325,0.48,0.6
0.9775,0.468,0.1775,0.275,0.455,0.605
0.991,0.4735,0.2345,0.24,0.48,0.605
0.974,0.393,0.224,0.3345,0.47,0.605
1.434,0.7285,0.264,0.431,0.505,0.605
1.0725,0.4835,0.2515,0.28,0.465,0.61
1.2405,0.6025,0.2915,0.3085,0.485,0.61
1.1155,0.3835,0.223,0.379,0.475,0.61
1.2795,0.5735,0.2855,0.355,0.485,0.61
1.3255,0.6685,0.2605,0.335,0.515,0.62
1.139,0.4995,0.2435,0.357,0.54,0.62
1.2215,0.582,0.2695,0.313,0.48,0.62
1.0405,0.464,0.2225,0.3,0.48,0.62
1.362,0.6765,0.2615,0.3705,0.485,0.625
1.1965,0.514,0.2325,0.3995,0.5,0.63
1.2435,0.5805,0.313,0.305,0.49,0.635
1.2615,0.5385,0.2665,0.38,0.49,0.635
1.2235,0.5215,0.2695,0.36,0.505,0.64
1.2415,0.5815,0.276,0.315,0.51,0.645
1.363,0.573,0.362,0.36,0.51,0.645
1.371,0.6925,0.2905,0.35,0.48,0.645
1.337,0.615,0.3195,0.335,0.495,0.65
1.043,0.4795,0.223,0.305,0.51,0.655
1.3485,0.5935,0.2745,0.425,0.505,0.655
1.4405,0.688,0.3805,0.363,0.505,0.655
1.5175,0.711,0.3125,0.415,0.535,0.66
1.2915,0.631,0.2925,0.32,0.505,0.665
1.32,0.5235,0.3095,0.4275,0.52,0.67
1.566,0.858,0.339,0.354,0.55,0.67
1.619,0.74,0.3305,0.465,0.54,0.67
1.382,0.6045,0.3175,0.3965,0.51,0.675
1.6075,0.714,0.339,0.4705,0.51,0.68
1.638,0.7775,0.375,0.438,0.565,0.685
